Название книги;Цена со скидкой;Цена без скидки;Скидка %;Автор;Издательство;Наличие;Ссылка
Web-программирование на Python. Учебное пособие;2489;3555;30;Янцев Валерий Викторович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/868730/
Web-программирование на Python. Учебное пособие;2489;3555;30;Янцев Валерий Викторович;Лань;На складе;https://www.labirint.ru/books/868731/
Как проектировать программы;3398;4854;30;Фелляйзен, Финдлер, Флэтт;ДМК-Пресс;На складе;https://www.labirint.ru/books/865701/
Введение в программирование и структуры данных;2548;3640;30;Фислер, Кришнамурти, Политц;ДМК-Пресс;На складе;https://www.labirint.ru/books/868323/
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие. СПО;1646;2352;30;Заяц, Васильев;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/868169/
Введение в гибридные технологии разработки мобильных приложений. Учебное пособие;2878;4112;30;Васильев, Заяц;Лань;На складе;https://www.labirint.ru/books/762546/
Параллельное программирование на современном С++;3398;4854;30;Гримм Райнер;ДМК-Пресс;Скоро закончится;https://www.labirint.ru/books/864337/
Устройство и программирование автономных роботов. Проекты на Python и Raspberry PI;2209;3155;30;Стейпл Дэнни;ДМК-Пресс;На складе;https://www.labirint.ru/books/864338/
Практический хакинг интернета вещей;3059;4370;30;Чанцис, Стаис, Кальдерон;ДМК-Пресс;На складе;https://www.labirint.ru/books/854686/
Spring в действии;3398;4854;30;Уоллс Крейг;ДМК-Пресс;На складе;https://www.labirint.ru/books/860800/
Практическое введение в решение дифференциальных уравнений в Python;1700;2428;30;Ершов Николай Михайлович;ДМК-Пресс;На складе;https://www.labirint.ru/books/860802/
Программирование в Roblox. Сделать игру - проще простого;1700;2428;30;Брамбо Зандер;ДМК-Пресс;На складе;https://www.labirint.ru/books/859415/
Многопоточный JavaScript;2209;3155;30;Хантер, Инглиш;ДМК-Пресс;На складе;https://www.labirint.ru/books/854897/
JavaScript. Визуальные редакторы. Учебное пособие для СПО;2108;3012;30;Янцев Валерий Викторович;Лань;На складе;https://www.labirint.ru/books/855003/
JavaScript. Визуальные редакторы. Учебное пособие для вузов;1862;2660;30;Янцев Валерий Викторович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/855004/
Графический анализ на языке R. Учебно-методическое пособие;540;772;30;Лукьянов Павел Борисович;Прометей;На складе (ограниченное количество);https://www.labirint.ru/books/852959/
Алгоритмы и программы. Язык С++. Учебное пособие для СПО;1632;2331;30;Конова, Поллак;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/755508/
Вероятностное программирование. Учебное пособие;3613;5161;30;Колбин Вячеслав Викторович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/801535/
Программирование на языке Си. Учебное пособие для вузов;2949;4213;30;Рацеев Сергей Михайлович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/848778/
Руткиты и буткиты. Обратная разработка вредоносных программ и угрозы следующего поколения;3230;4614;30;Матросов, Родионов, Братусь;ДМК-Пресс;На складе;https://www.labirint.ru/books/848309/
Язык программирования C# 9 и платформа .NET 5: основные принципы и практики программирования;5760;8229;0;Троелсен, Джепикс;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/846543/
